Sentimen	Comment
1	ya allah ceramah nya penuh arti dn semua yg d bicarakn tentang ke hidupan orang yg rendah hati.subhanaallah senang hati menjadi tenang.semoga sehat sehat terus
1	Alhamdulillah,semoga ustatd dan keluarga ,selalu sehat,panjang umur, dan selalu dalam lindungan Allah,aamiin aamiin aamiin ya,robbal'alamiin
1	Yaa Allah jagalah UAS, sehatkan badannya dan panjangkan lah umurnya
1	Iman unlimited, iman amal saleh unlimited, jaga lisan, baca alquran, jangan zalim, Islam, ibadah gigih, amal, akhlak mulia, adab, tuhan Allah swt malaikat
0	Massayallah .
1	Alhamdulillah Semoga Ustaz Abd. Somad sehat dan sukses selalu dalam menyiarkan Agama Islam serta tetap dalam Lindungan Allah SWT. Aamiin
1	Terima ksh pak ustad yg telah menyadarkan kami para umatNYA untuk mengerti pentingnya sholat,smoga pak ustad sht selalu,Amin,
1	Alhamdulillah ,subhaanalloh Smg ceramah trs menjadikan yg terbaik bg jemaahnya aamiin salut dan sll mengikuti taoziahnya
1	Amiiin,ya Allah ya robal alamiin, mudah"an UAS di beri kesehatan,dan terus menyebarkan tausiyah,syariat"islam,dan do,ain keluarga saya ustadz,biar seiman,seagama,dan kelak keluarga kami di ambil,dalam keadaaan khusnul khatimah, amiiin
1	Semoga ALLAH selalu melindungi ustad dan selalu sehat dan di beri rezeki yg melimpah. AMIN
0	Assalamualaikum ustadz Abdul Somad.
1	Masya Allah.. Semoga negri ini semakin byk melahirkan Ulama seperti UAS.. Beliau begitu cerdas.Semoga Allah SWT selalu melindungi beliau dlm menjalankan dakwahnya dimanapun.. Aamiin
1	Masya Allah bisa dalam mendengar ceramah UAS bercampur aduk perasaan senang sedih happy ..geram..semuanya lah kdg sampai 3 / 4 kali sehari semoga Istiqomah dan bisa mengambil ikhtibar..khoirunnas anfauhum linnas Ã¢â‚¬â„¢Ã‚Â
1	Alhamdulillah,tenang dengar ceramah UAS,,,semoga ustad panjang umur.
1	Adem banget rasanya ya Allah...smg uas dan kel sll sehat dan panjang Umur
1	Semoga pk ustazd diberikan kesehatan dan umur yg panjang Aamiin...
1	Aamiin yaa. Roob...Smg UAS slalu sehatWalafiat dan dlm Lindungn Alloh swt.. Aamiin yra....
1	Assalamualaikum ustadz Abdul Somad..semoga senantiasa dlm lindungan Allah AZZA WaJalla, dan ALLAH ttp kan hati kt umat Islam dlm iman dan Islam Nya sampai akhir hayat, Aamiin ya Robbal Alamin Ã‚Â¸Ã‚Â
1	Semoga Ustadz panjang umur, supaya bisa terus menuntun umatÃ‚Â
0	Semoga Allah Ta'ala selalu melindungi beliau didunia dan akhirat
1	Alhamdulillah nambah ilmu dr tuan guru Abdul Somad
0	Ya allah lindungilah para ulama & alim ulama di nkri ini
1	Alhamdulillahirrobbilalamin Semakin Sering MENGIKUTI pengajian dan semakin mengerti TRIMAKASIH TUAN GURU UAS ATAS TAUSIYAH nya.
1	Masyah allah tabarakallah terima kasih ilmunya pak ustadz..
1	Assalamu'alaikum.. barokallah ustadz, semoga beliau selalu dalam lindungan Allah SWT.. aamiin yaa robbal'aalamiin.
1	Alhamdulillah bisa dengar ceramah ustadz lagi
1	tuan guru UAS, Sy dari 2017 sering nonton ceramah Tuan guru UAS, semoga sehat selalu tuan guru
1	Saya lagi bersedih dengar ceramahnya ustad jd ketawa g jadi sedih, Alhamdulillah semoga sehat selalu tuan guru UASÃ‚Â
1	Tambah suka dengan kajian UAS, terasa semakin dalam kajian nya
1	Amiin ya Rabbal Alamien. Semoga pak ustad sehat walafiyad dan tetap akan mengajar kami yg blum tau tetang banyak ibadah. Amiin
0	Sehat dan panjang umur buat ustad Abdul somat..bersama kru dan hamba sahaya...Aamiin
0	Asalamualaikum semoga tuan guru UAS juga kluarganya selalu dalam lindungan allah SWT
0	Alhamdulillah... sihat selalu ustadh my idol
1	Alhamdulillah, sangat bermanfaat, semoga kita semua dalam keadaan sehat selalu
0	Ya,Allah lindungilah UAS selalu
0	Semoga Ustadz selalu dalam lindungan Allah SWT, dan senantiasa di berikan kesehatan. Aamiin ya Mujiib
1	Masya alloh tabarokaloh seumoga sht seulalu bapak ustdz Abdul Somad dn tsusyahnya yg beurmanpa,at tuk jama,ah seukitarnya bisa istikomahmeungmlkn nya
1	Semoga ustadz selalu diberikan kesehatan dan panjang umur yg berkah untuk terus menyiarkan agama Allah dan ajaran Rasulullah bagi umat..Aamiin..
0	Assalamualaikum war wab.Alhamdulillah Tabarokallah..smoga UAS tetap sehat selalu dan diberi kemudahan dlm segala aktifitas kebaikannya.Aamiin Ya Allah..
0	Semoga UAS kami sentiasa di bwah lindungannya Allah taala aamii.n
0	Subhanallah walhamdulillah walailahaillalah allahuakbar semoga UAS sekeluwarga dan kita semua dalam lindungan allah subha nahuwatakala jauh dari mara bahaya amiiiiin amiiiiin amiiiiin iarabbal alamiiiiiinnn Riyadh saudi Arabia hadir lombok utara hadir juga..
0	Sehat selalu Tuan UAS ,semoga berkah ilmunya usianya & keluarga nya
0	Ya Allah pertemukan lah ibu saya dan keluarga saya dengan guru ustadz abdul somad aamiin... Mak saya fans berat ustad Ã¢â‚¬ËœÃ‚Â
1	Subhanalloh walhamdulillah walaailahaillalloh wallohuakbar..bersyukur sekali bisa dengan tenang ,happy dengar ceramah UAS.. semoga bisa kita ambil manfaat dan pelajaran Ã¢â‚¬â„¢Ã‚Â
0	Asslamualaikum. Masya Allah Tabarakallah
0	Mg Tuanguru sehat wal'afiat,panjamg umur dan slalu dalam lindungan Allah Swt Aamiin
1	Mantul ceramahnya pak ustad Shomat,semoga ustad sehat dan sukses selalu,aamiin
1	Masa allah,,,,,,, tabarakallah,,,,, semoga ucapan ustat yang baik' terkabul semuanya,,,,,, amiiiiin
0	Semoga Allah menjaga ustadz Abdul Somad
0	Mudah2an UAS dan seluruh umat islam didunia ada dalam lindungan Allah swt.
0	Assalamualaikum wr wb
0	Alhamdulillah Tabarokallah pak Ustadz semoga sehat selalu dan panjang umur ...Aamiin
0	Semoga tuan guru Ustd Abdl Somad tetap istiqomah dan sllalu dlm bimbingan Allah SWT..Aamiiinn
1	Semoga sehat sellu tuan guru uas,alhmdllh,senang mndgr ceramahx
0	Assalammualaikum ustaz semoga Allah SWT permudahkan segala urusan rezeki Aamiin
0	Masyaalloh ! Semoga terjaga punya hati rendah hati
1	Assalamualaikum wbt semoga guru ustaz uas dalam keadaan sehat dalam keadaan Husnul Khotimah amin, semuga bermanfaat, pamekasan ikut
1	Asaalamualikum pa ustad.. Alhamdulillah saya bnyak bljar pa ustadÃ‚Â¸Ã‚Â moga pa ustad sllu dlm lindungan Allah SWT amiin Allah huma amiin ya rob.,
0	Mudah2an UAS dan seluruh umat islam didunia ada dalam lindungan Allah swt.
0	Assalamualaikum wr wb
1	Alhamdulillah sehat selalu tuan guru Abdul somad Aamiin seneng banget mendengar ceramah nya
1	Alhamdulillah ustadz...ilmu ny semoga membawa berkah bagi kita semua....aamiiin
0	Semoga UAS selalu dalam lindungan Allah SWT.
1	Alhamdulilah,, y alloh, semoga kyi hj abdul somad selalu diberkati alloh dandipanjangkan umurnya, dan ber dakwah, semoga bermanfaat bagi kita semua,,amiin 3 yrob ngalamin,,
0	Semoga ustaz kita ini senantiasa di panjang kan umur nya, di murah kan rizkinya... Amin...!
0	Alhamdulillah saya berhadir di lokasi tersebut
0	Shat slalu Tuan guru
0	Assalamu'alaikum Lampung Hadir Ustadz Semoga Kita Selalu Dalam lindungan Allah SWT Aamiin yra
1	Alhmdllh semoga pak ustadz selalu Salam lindungan alloh dan selalu menyiarkan kebenaran islam yg sesungguhnya,, aamiin
0	Semoga ustas Somat selalu dlm lindungan Allah SWT amin
0	Yaa Allah ..rendahkanlah hati Zahra Adam. Jadikanlah anak" hamba anak" yg Sholeh. ...Aamiin ..yaa Allah ...
1	Assalamualaikum,terima kasih ustadz besar,semoga engkau beserta keluarga selalu di berikan keberkahan.....amin
1	Semoga syech Prof.DR.H Abdul Somad LC ,MA ,DESA ,PhD sehat selalu ,murah rezeki ,selalu dalam lindungan Allah SWT dan yang terpenting tetap tawadhuk. Aamiin
1	Assalamualaikum wr wb ustadzÃ‚Â.sehat sllu ustadz sy sngt senang dengar crmh ustadz, teruslah berdakwah,krna kta tkkn prnh berhenti utk belajar,
0	MasyaAllah Makasih Ustadz Abdul Somad
0	Smg ust Abd Shomad sll di lindungi Alloh swt amin
0	semoga uas sekeluarga sehat selalu dan ilmunya bermanfaat utk umat Aamiin
0	Alhamdulillah ust.
0	MaasyaAllaah, senantiasa dalam lindungan Allah SWT Ustadz, terima kasih atas 'ilmunya
0	hadir tuan guru, masya Allah
1	selalu adem hati ini mendengar ceramah ustadz Abdul Somad. semoga sehat selalu
1	MasyaAllah Makasih Ustadz Abdul Somad
0	Alhamdulillah nyimak, semoga pak UAS sehat wal'afiat
0	wa alaikum salam.karawang hadir
1	semoga UAS sehat selalu panjang umur murah rizki dan berkah. aamin.
1	Alhamdulilah ya Allah semoga sukses terus dan diberi kshtan biar sy lbh rajin dan mengamalkan sy syukuri dgn mendengarkan ceramah pak ustad sy lbh semangat untuk ke jln Allah SWT Amin ya rabbal alamin
1	Semoga ustadz abdul somad selalu dalam lindungan ALLAH SWT dimanapun beliau berada Aamiinn Yaa Robbal Alamiinn
1	alhamdulilah hatiku tenang denger ceramah ustat
1	Alhamdulillah trma ksh ustadz hri2 sy dgr crmhx hti rasa adem
